,Food,Food Type,Calories,Grams,Protein,Fat,Fiber,Carbs
0,Cows' milk,Dairy,680.0,120.0,32.0,40.0,0.0,48.0
1,Milk skim,Dairy,352.0,88.0,36.0,0.0,0.0,52.0
2,Buttermilk,Dairy,133.0,27.0,9.0,5.0,0.0,13.0
3,"Evaporated, undiluted",Dairy,340.0,60.0,16.0,20.0,0.0,24.0
4,Fortified milk,Dairy,1215.6,251.4,89.0,42.0,1.4,119.0
5,Powdered milk,Dairy,516.0,94.0,27.0,28.0,0.0,39.0
6,"skim, instant",Dairy,288.0,72.0,30.0,0.0,0.0,42.0
7,"skim, non-instant",Dairy,292.0,73.0,30.0,0.0,1.0,42.0
8,Goats' milk,Dairy,166.0,29.0,8.0,10.0,0.0,11.0
9,Skim. milk,Dairy,164.0,36.0,18.0,4.0,1.0,13.0
10,Cornstarch,Dairy,286.0,59.0,9.0,10.0,0.0,40.0
11,Ice milk,Dairy,254.0,51.0,9.0,10.0,0.0,32.0
12,Cheese,Dairy,243.0,47.0,30.0,11.0,0.0,6.0
13,uncreamed,Dairy,176.0,44.0,38.0,0.0,0.0,6.0
14,Cheddar,Dairy,70.0,10.0,4.0,6.0,0.0,0.0
15,"Cheddar, grated cup",Dairy,231.0,34.0,14.0,19.0,0.0,1.0
16,Cream cheese,Dairy,111.0,14.0,2.0,11.0,0.0,1.0
17,Roquefort type,Dairy,105.0,15.0,6.0,9.0,0.0,0.0
18,Swiss,Dairy,100.0,15.0,7.0,8.0,0.0,0.0
19,Bean soups,Soup,199.4,43.6,8.0,5.0,0.6,30.0
20,Beef soup,Soup,106.0,21.5,6.0,4.0,0.5,11.0
21,Bouillon,Soup,20.0,5.0,5.0,0.0,0.0,0.0
22,chicken soup,Soup,74.0,16.0,4.0,2.0,0.0,10.0
23,Clam chowder,Soup,88.0,19.5,5.0,2.0,0.5,12.0
24,Cream soups,Soup,212.8,38.2,7.0,12.0,1.2,18.0
25,Split-pea soup,Soup,161.0,36.5,8.0,3.0,0.5,25.0
26,Tomato soup,Soup,177.0,35.5,6.0,7.0,0.5,22.0
27,Vegetable,Soup,90.0,20.0,4.0,2.0,0.0,14.0
28,Bran flakes,Grains,140.4,35.1,3.0,0.0,0.1,32.0
29,"Bread, cracked wheat",Grains,65.4,15.1,2.0,1.0,0.1,12.0
30,Rye,Grains,65.4,15.1,2.0,1.0,0.1,12.0
31,Rye whole-wheat,Grains,1452.0,345.5,48.0,14.0,67.5,216.0
32,Rye whole-wheat slice,Grains,62.24,14.31,2.0,1.0,0.31,11.0
33,Corn bread ground meal,Grains,109.2,22.3,3.0,4.0,0.3,15.0
34,Corn grits cooked,Grains,140.8,35.2,8.0,0.0,0.2,27.0
35,Corn meal,Grains,374.4,88.6,9.0,4.0,1.6,74.0
36,Farina,Grains,132.0,33.0,3.0,0.0,8.0,22.0
37,Flour,Grains,497.6,96.9,39.0,22.0,2.9,33.0
38,Wheat (all purpose),Grains,394.2,97.3,12.0,1.0,0.3,84.0
39,Wheat (whole),Grains,397.2,96.8,13.0,2.0,2.8,79.0
40,Oatmeal,Grains,169.4,38.6,5.0,3.0,4.6,26.0
41,Rice,Grains,707.8,173.2,15.0,3.0,1.2,154.0
42,Rice flakes,Grains,112.4,28.1,2.0,0.0,0.1,26.0
43,Rice polish,Grains,194.8,41.2,6.0,6.0,1.2,28.0
44,Wheat germ,Grains,277.0,60.5,17.0,7.0,2.5,34.0
45,Wheat-germ cereal toasted,Grains,297.0,65.5,20.0,7.0,2.5,36.0
46,Wheat meal cereal unrefined,Grains,127.8,30.7,4.0,1.0,0.7,25.0
47,"Wheat, cooked",Grains,214.6,52.4,12.0,1.0,4.4,35.0
48,Almonds,Nuts,453.2,65.8,13.0,38.0,1.8,13.0
49,roasted and salted,Nuts,471.2,67.8,13.0,40.0,1.8,13.0
50,Brazil nuts,Nuts,499.0,66.0,10.0,47.0,2.0,7.0
51,Cashews,Nuts,419.6,64.9,12.0,32.0,0.9,20.0
52,coconut sweetened,Nuts,296.0,49.0,1.0,20.0,2.0,26.0
53,Peanut butter,Nuts,312.6,46.9,12.0,25.0,0.9,9.0
54,"Peanut butter, natural",Nuts,303.6,45.9,13.0,24.0,0.9,8.0
55,Peanuts,Nuts,317.8,48.2,13.0,25.0,1.2,9.0
56,Pecans,Nuts,367.4,48.1,5.0,35.0,1.1,7.0
57,Sesame seeds,Nuts,304.4,46.1,9.0,24.0,3.1,10.0
58,Sunflower seeds,Nuts,329.6,49.9,12.0,26.0,1.9,10.0
59,Walnuts,Nuts,352.0,48.0,7.0,32.0,1.0,8.0
60,Artichoke,Vegetables,56.0,14.0,2.0,0.0,2.0,10.0
61,Asparagus,Vegetables,18.0,4.5,1.0,0.0,0.5,3.0
62,Beans,Vegetables,31.2,7.8,1.0,0.0,0.8,6.0
63,Lima,Vegetables,140.0,35.0,8.0,0.0,3.0,24.0
64,"Lima, dry, cooked",Vegetables,264.0,66.0,16.0,0.0,2.0,48.0
65,"Navy, baked with pork",Vegetables,254.0,56.0,11.0,6.0,2.0,37.0
66,Red kidney,Vegetables,247.0,60.5,15.0,1.0,2.5,42.0
67,Bean sprouts,Vegetables,17.2,4.3,1.0,0.0,0.3,3.0
68,Beet greens,Vegetables,37.6,9.4,2.0,0.0,1.4,6.0
69,Beetroots,Vegetables,51.2,12.8,12.0,0.0,0.0,0.8
70,Broccoli,Vegetables,59.6,14.9,5.0,0.0,1.9,8.0
71,Brussels sprouts,Vegetables,78.8,19.7,6.0,0.0,1.7,12.0
72,Sauerkraut,Vegetables,36.8,9.2,1.0,0.0,1.2,7.0
73,Steamed cabbage,Vegetables,50.0,12.3,2.0,0.0,1.5,9.0
74,Carrots,Vegetables,47.6,11.9,1.0,0.0,0.9,10.0
75,"Raw, grated",Vegetables,48.8,12.2,1.0,0.0,1.2,10.0
76,"Strips, from raw",Vegetables,22.0,5.5,0.0,0.0,0.5,5.0
77,Cauliflower,Vegetables,40.0,10.0,3.0,0.0,1.0,6.0
78,Celery,Vegetables,24.0,6.0,1.0,0.0,1.0,4.0
79,Stalk raw,Vegetables,9.2,2.3,1.0,0.0,0.3,1.0
80,Chard steamed,Vegetables,41.6,10.4,2.0,0.0,1.4,7.0
81,Collards,Vegetables,60.0,15.0,5.0,0.0,2.0,8.0
82,Corn,Vegetables,108.2,25.8,3.0,1.0,0.8,21.0
83,cooked or canned,Vegetables,190.4,47.6,5.0,0.0,1.6,41.0
84,Cucumbers,Vegetables,4.8,1.2,0.0,0.0,0.2,1.0
85,Dandelion greens,Vegetables,105.8,25.2,5.0,1.0,3.2,16.0
86,Eggplant,Vegetables,48.0,12.0,2.0,0.0,1.0,9.0
87,Endive,Vegetables,14.4,3.6,1.0,0.0,0.6,2.0
88,Kale,Vegetables,60.6,13.9,4.0,1.0,0.9,8.0
89,Kohlrabi,Vegetables,50.0,12.5,2.0,0.0,1.5,9.0
90,"Lambs quarters, steamed",Vegetables,60.8,15.2,5.0,0.0,3.2,7.0
91,Lentils,Vegetables,221.6,55.4,15.0,0.0,2.4,38.0
92,Lettuce,Vegetables,14.0,3.5,1.0,0.0,0.5,2.0
93,Iceberg,Vegetables,14.0,3.5,0.0,0.0,0.5,3.0
94,Mushrooms canned,Vegetables,24.0,6.0,2.0,0.0,0.0,4.0
95,Mustard greens,Vegetables,40.8,10.2,3.0,0.0,1.2,6.0
96,Okra,Vegetables,36.0,9.0,1.0,0.0,1.0,7.0
97,Onions,Vegetables,86.4,21.6,2.0,0.0,1.6,18.0
98,"Raw, green",Vegetables,24.0,6.0,0.0,0.0,1.0,5.0
99,Parsley,Vegetables,0.0,0.0,0.0,0.0,0.0,0.0
100,Parsnips,Vegetables,117.0,28.0,2.0,1.0,3.0,22.0
101,Peas,Vegetables,64.4,16.1,3.0,0.0,0.1,13.0
102,"Fresh, steamed peas",Vegetables,76.8,19.2,5.0,0.0,2.2,12.0
103,Frozen peas,Vegetables,75.2,18.8,5.0,0.0,1.8,12.0
104,Split cooked peas,Vegetables,117.6,29.4,8.0,0.0,0.4,21.0
105,heated peas,Vegetables,56.0,14.0,3.0,0.0,1.0,10.0
106,Peppers canned,Vegetables,8.0,2.0,0.0,0.0,0.0,2.0
107,"Peppers Raw, green, sweet",Vegetables,33.6,8.4,1.0,0.0,1.4,6.0
108,Peppers with beef and crumbs,Vegetables,257.0,53.0,19.0,9.0,1.0,24.0
109,"Potatoes, baked",Vegetables,98.0,24.5,2.0,0.0,0.5,22.0
110,French-fried,Vegetables,148.6,26.4,1.0,7.0,0.4,20.0
111,Potatoes Mashed with milk and butter,Vegetables,238.8,44.7,4.0,12.0,0.7,28.0
112,"Potatoes, pan-tried",Vegetables,275.6,51.4,4.0,14.0,0.4,33.0
113,Scalloped with cheese potatoes,Vegetables,153.6,28.4,6.0,8.0,0.4,14.0
114,Steamed potatoes before peeling,Vegetables,85.6,21.4,2.0,0.0,0.4,19.0
115,Potato chips,Vegetables,107.0,18.0,1.0,7.0,0.0,10.0
116,Radishes,Vegetables,9.2,2.3,0.0,0.0,0.3,2.0
117,Rutabagas,Vegetables,37.6,9.4,0.0,0.0,1.4,8.0
118,Soybeans,Vegetables,279.8,56.2,22.0,11.0,3.2,20.0
119,Spinach,Vegetables,28.0,7.0,3.0,0.0,1.0,3.0
120,Squash,Vegetables,38.4,9.6,1.0,0.0,0.6,8.0
121,"Winter, mashed",Vegetables,118.4,29.6,4.0,0.0,2.6,23.0
122,Sweet potatoes,Vegetables,165.0,40.0,2.0,1.0,1.0,36.0
123,Candied,Vegetables,388.0,89.5,2.0,6.0,1.5,80.0
124,Tomatoes,Vegetables,48.0,12.0,2.0,0.0,1.0,9.0
125,Tomato juice,Vegetables,50.4,12.6,2.0,0.0,0.6,10.0
126,Tomato catsup,Vegetables,16.0,4.0,0.0,0.0,0.0,4.0
127,Turnip greens,Vegetables,64.2,14.8,4.0,1.0,1.8,8.0
128,"Turnips, steamed",Vegetables,47.2,11.8,1.0,0.0,1.8,9.0
129,"Watercress stems, raw",Vegetables,9.2,2.3,1.0,0.0,0.3,1.0
130,Apple juice canned,Fruits,136.0,34.0,0.0,0.0,0.0,34.0
131,Apple vinegar,Fruits,12.0,3.0,0.0,0.0,0.0,3.0
132,"Apples, raw",Fruits,76.0,19.0,0.0,0.0,1.0,18.0
133,Stewed or canned,Fruits,112.0,28.0,0.0,0.0,2.0,26.0
134,Apricots,Fruits,240.0,60.0,2.0,0.0,1.0,57.0
135,"Dried, uncooked",Fruits,220.0,55.0,4.0,0.0,1.0,50.0
136,Fresh,Fruits,62.8,15.7,1.0,0.0,0.7,14.0
137,"Nectar, or juice",Fruits,156.0,39.0,1.0,0.0,2.0,36.0
138,Avocado,Fruits,201.2,27.8,2.0,18.0,1.8,6.0
139,Banana,Fruits,99.6,24.9,1.0,0.0,0.9,23.0
140,Blackberries,Fruits,119.4,28.6,2.0,1.0,6.6,19.0
141,Blueberries,Fruits,272.0,68.0,1.0,0.0,2.0,65.0
142,Cantaloupe,Fruits,48.8,12.2,1.0,0.0,2.2,9.0
143,Cherries,Fruits,129.0,31.0,2.0,1.0,2.0,26.0
144,"Fresh, raw cherries",Fruits,67.2,16.8,1.0,0.0,0.8,15.0
145,Cranberry sauce sweetened,Fruits,572.8,143.2,0.0,0.0,1.2,142.0
146,Dates,Fruits,566.4,141.6,4.0,0.0,3.6,134.0
147,Figs,Fruits,135.6,33.9,2.0,0.0,1.9,30.0
148,"Fresh, raw figs",Fruits,100.0,25.0,2.0,0.0,1.0,22.0
149,figs Canned with syrup ,Fruits,136.0,34.0,1.0,0.0,1.0,32.0
150,"Fruit cocktail, canned",Fruits,206.0,51.5,1.0,0.0,0.5,50.0
151,Grapefruit sections,Fruits,182.0,45.5,1.0,0.0,0.5,44.0
152,"Grapefruit, fresh, 5"" diameter",Fruits,64.0,16.0,1.0,0.0,1.0,14.0
153,Grapefruit juice,Fruits,104.0,26.0,1.0,0.0,1.0,24.0
154,Grapes,Fruits,71.2,17.8,1.0,0.0,0.8,16.0
155,"European, as Muscat, Tokay",Fruits,110.8,27.7,1.0,0.0,0.7,26.0
156,Grape juice,Fruits,172.0,43.0,1.0,0.0,0.0,42.0
157,Lemon juice,Fruits,40.0,10.0,0.0,0.0,0.0,10.0
158,Lemonade concentratefrozen,Fruits,448.0,112.0,0.0,0.0,0.0,112.0
159,Limeade concentrate frozen,Fruits,432.0,108.0,0.0,0.0,0.0,108.0
160,Olives large,Fruits,109.2,14.8,1.0,10.0,0.8,3.0
161,OlivesRipe,Fruits,129.0,16.0,1.0,13.0,1.0,1.0
162,"Oranges 3"" diameter",Fruits,76.0,19.0,2.0,0.0,1.0,16.0
163,Orange juice,Fruits,108.8,27.2,2.0,0.0,0.2,25.0
164,Frozen ,Fruits,321.6,80.4,2.0,0.0,0.4,78.0
165,Papaya,Fruits,83.2,20.8,1.0,0.0,1.8,18.0
166,Peaches,Fruits,216.0,54.0,1.0,0.0,1.0,52.0
167,"Fresh, raw peaches",Fruits,46.4,11.6,1.0,0.0,0.6,10.0
168,Pears,Fruits,212.0,53.0,1.0,0.0,2.0,50.0
169,"Raw, 3 by 2V",Fruits,121.0,29.0,1.0,1.0,2.0,25.0
170,Persimmons,Fruits,92.0,23.0,1.0,0.0,2.0,20.0
171,Pineapple,Fruits,105.6,26.4,0.0,0.0,0.4,26.0
172,Pineapple Crushed,Fruits,226.8,56.7,1.0,0.0,0.7,55.0
173,"Raw, diced",Fruits,82.4,20.6,1.0,0.0,0.6,19.0
174,Pineapple juice,Fruits,132.8,33.2,1.0,0.0,0.2,32.0
175,Plums,Fruits,206.8,51.7,1.0,0.0,0.7,50.0
176,"Raw, 2"" diameter",Fruits,28.8,7.2,0.0,0.0,0.2,7.0
177,Prunes,Fruits,348.2,85.8,3.0,1.0,0.8,81.0
178,Prune juice,Fruits,186.8,46.7,1.0,0.0,0.7,45.0
179,Raisins,Fruits,338.8,84.7,2.0,0.0,0.7,82.0
180,Raspberries,Fruits,108.0,27.0,0.0,0.0,2.0,25.0
181,"Raw, red",Fruits,76.0,19.0,0.0,0.0,5.0,14.0
182,Rhubarb sweetened,Fruits,403.6,100.9,1.0,0.0,1.9,98.0
183,Strawberries,Fruits,249.2,62.3,1.0,0.0,1.3,60.0
184,Raw,Fruits,55.6,13.9,0.0,0.0,1.9,12.0
185,Tangerines,Fruits,48.0,12.0,1.0,0.0,1.0,10.0
186,Watermelon,Fruits,147.4,35.6,2.0,1.0,3.6,29.0
187,Clams,Seafood,65.0,15.0,12.0,1.0,0.0,2.0
188,Cod,Seafood,157.0,33.0,28.0,5.0,0.0,0.0
189,Crab meat,Seafood,78.0,17.0,14.0,2.0,0.0,1.0
190,Flounder,Seafood,192.0,38.0,30.0,8.0,0.0,0.0
191,Haddock,Seafood,133.0,27.0,16.0,5.0,0.0,6.0
192,Halibut,Seafood,176.0,34.0,26.0,8.0,0.0,0.0
193,Herring,Seafood,205.0,35.0,22.0,13.0,0.0,0.0
194,Lobster,Seafood,81.0,19.0,18.0,1.0,0.0,0.0
195,Mackerel,Seafood,153.0,27.0,18.0,9.0,0.0,0.0
196,Oyster stew,Seafood,130.0,25.0,19.0,6.0,0.0,0.0
197,Salmon,Seafood,113.0,22.0,17.0,5.0,0.0,0.0
198,Sardines,Seafood,169.0,331.0,22.0,9.0,0.0,0.0
199,Scallops,Seafood,184.0,36.0,18.0,8.0,0.0,10.0
200,Shad,Seafood,170.0,30.0,20.0,10.0,0.0,0.0
201,Shrimp,Seafood,101.0,24.0,23.0,1.0,0.0,0.0
202,Swordfish,Seafood,162.0,33.0,27.0,6.0,0.0,0.0
203,Tuna,Seafood,163.0,32.0,25.0,7.0,0.0,0.0
204,Salt pork,Meat & Poultry,507.0,58.0,3.0,55.0,0.0,0.0
205,Bacon,Meat & Poultry,92.0,13.0,4.0,8.0,0.0,1.0
206,Beef,Meat & Poultry,236.0,39.0,23.0,16.0,0.0,0.0
207,Hamburger,Meat & Poultry,237.0,38.0,21.0,17.0,0.0,0.0
208,Ground lean,Meat & Poultry,186.0,34.0,24.0,10.0,0.0,0.0
209,Roast beef,Meat & Poultry,388.0,52.0,16.0,36.0,0.0,0.0
210,Steak,Meat & Poultry,323.0,47.0,20.0,27.0,0.0,0.0
211,"Steak, lean, as round",Meat & Poultry,204.0,36.0,24.0,12.0,0.0,0.0
212,Corned beef,Meat & Poultry,178.0,32.0,22.0,10.0,0.0,0.0
213,Corned beef hash canned,Meat & Poultry,144.0,26.0,12.0,8.0,0.0,6.0
214,Corned beef hash Dried,Meat & Poultry,112.0,23.0,19.0,4.0,0.0,0.0
215,chicken,Meat & Poultry,173.0,32.0,23.0,9.0,0.0,0.0
216,"Fried, breast or leg and thigh chicken",Meat & Poultry,235.0,40.0,25.0,15.0,0.0,0.0
217,Roasted chicken,Meat & Poultry,280.0,45.0,25.0,20.0,0.0,0.0
218,"Chicken livers, fried",Meat & Poultry,223.2,38.3,22.0,14.0,0.0,2.3
219,"Duck, domestic",Meat & Poultry,316.0,44.0,16.0,28.0,0.0,0.0
220,"Lamb, chop, broiled",Meat & Poultry,411.0,59.0,24.0,35.0,0.0,0.0
221,Leg roasted,Meat & Poultry,206.0,304.0,20.0,14.0,0.0,0.0
222,"Shoulder, braised",Meat & Poultry,279.0,41.0,18.0,23.0,0.0,0.0
223,"Pork, chop, 1 thick",Meat & Poultry,253.0,37.0,16.0,21.0,0.0,0.0
224,Ham pan-broiled,Meat & Poultry,262.0,38.0,16.0,22.0,0.0,0.0
225,Ham,Meat & Poultry,169.0,26.0,13.0,13.0,0.0,0.0
226,"Ham, canned, spiced",Meat & Poultry,162.0,23.0,8.0,14.0,0.0,1.0
227,Pork roast,Meat & Poultry,300.0,45.0,21.0,24.0,0.0,0.0
228,Pork sausage,Meat & Poultry,468.0,62.0,18.0,44.0,0.0,0.0
229,Turkey,Meat & Poultry,243.0,42.0,27.0,15.0,0.0,0.0
230,Veal,Meat & Poultry,173.0,32.0,23.0,9.0,0.0,0.0
231,Roast,Meat & Poultry,178.0,27.0,13.0,14.0,0.0,0.0
232,Eggs raw,Eggs,156.0,24.0,12.0,12.0,0.0,0.0
233,Eggs Scrambled or fried,Eggs,200.0,30.0,13.0,16.0,0.0,1.0
234,Yolks,Eggs,114.0,16.0,6.0,10.0,0.0,0.0
235,Hydrogenated cooking fat,Oils & Fats,900.0,100.0,0.0,100.0,0.0,0.0
236,Lard,Oils & Fats,990.0,110.0,0.0,110.0,0.0,0.0
237,"Margarine, 2 pat or",Oils & Fats,99.0,11.0,0.0,11.0,0.0,0.0
238,Corn oil,Oils & Fats,126.0,14.0,0.0,14.0,0.0,0.0
239,Olive oil,Oils & Fats,126.0,14.0,0.0,14.0,0.0,0.0
240,Safflower seed oil,Oils & Fats,126.0,14.0,0.0,14.0,0.0,0.0
